DrawNumbers,Index0,Index1,Index2,Index3,Index4
10226,4,6,13,30,34
10225,6,11,15,29,31
10224,6,28,31,32,33
10223,6,11,12,14,18
10222,7,8,15,19,22
10221,12,18,23,27,33
10220,5,12,21,27,31
10219,1,5,17,37,39
10218,2,7,12,13,29
10217,11,14,20,33,37
10216,1,3,8,31,39
10215,1,12,27,31,36
10214,4,11,30,32,39
10213,4,14,17,18,30
10212,9,12,14,21,34
10211,2,5,12,18,24
10210,3,7,21,34,35
10209,2,3,4,28,39
10208,13,17,34,37,38
10207,7,17,18,21,24
