DrawNumbers,Index0,Index1,Index2,Index3,Index4
10306,2,3,4,6,15
10305,6,7,19,24,27
10304,6,21,27,36,38
10303,10,22,24,29,32
10302,1,8,14,31,36
10301,3,12,15,32,36
10300,24,33,35,37,38
10299,5,20,26,27,37
10298,8,15,26,28,29
10297,3,9,12,16,39
10296,7,16,17,22,26
10295,13,24,30,33,38
10294,13,19,28,35,38
10293,8,13,15,22,33
10292,5,11,15,31,38
10291,9,18,27,29,37
10290,3,8,10,17,21
10289,5,11,27,28,35
10288,5,12,18,22,33
10287,1,6,8,18,38
